"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 09 12:04:01 EDT 2023","Sun Apr 09 12:04:13 EDT 2023","11556","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 00:29:56 EDT 2023","Mon Apr 10 00:30:13 EDT 2023","17330","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Tue Apr 11 20:27:56 EDT 2023","Tue Apr 11 20:28:17 EDT 2023","21389","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Sat Apr 15 12:55:19 EDT 2023","Sat Apr 15 12:55:22 EDT 2023","3075","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Wed Apr 05 22:54:49 EDT 2023","Wed Apr 05 22:54:54 EDT 2023","4946","","Sign up date","","","","Verify default state of signup form",""
"failed","Tue Apr 11 21:04:45 EDT 2023","Tue Apr 11 21:05:03 EDT 2023","18357","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 20:41:28 EDT 2023","Mon Apr 10 20:41:39 EDT 2023","11093","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"failed","Sun Apr 09 09:08:16 EDT 2023","Sun Apr 09 09:08:28 EDT 2023","12315","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Sat Apr 15 21:10:06 EDT 2023","Sat Apr 15 21:10:31 EDT 2023","24944","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Sun Apr 09 22:11:12 EDT 2023","Sun Apr 09 22:11:25 EDT 2023","13248","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Thu Apr 13 23:41:22 EDT 2023","Thu Apr 13 23:41:36 EDT 2023","13285","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"passed","Tue Apr 11 20:31:02 EDT 2023","Tue Apr 11 20:31:30 EDT 2023","28111","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"passed","Sun Apr 09 22:07:32 EDT 2023","Sun Apr 09 22:07:45 EDT 2023","13420","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Tue Apr 11 20:45:42 EDT 2023","Tue Apr 11 20:46:18 EDT 2023","35604","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Sun Apr 09 21:24:53 EDT 2023","Sun Apr 09 21:25:03 EDT 2023","9510","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"failed","Sat Apr 08 16:18:39 EDT 2023","Sat Apr 08 16:18:54 EDT 2023","15622","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 16:44:05 EDT 2023","Mon Apr 10 16:44:17 EDT 2023","12332","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"failed","Sat Apr 08 16:15:36 EDT 2023","Sat Apr 08 16:15:57 EDT 2023","20589","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Sun Apr 09 20:57:04 EDT 2023","Sun Apr 09 20:57:11 EDT 2023","7056","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
